ID,line,path,eva_nr,category,station,state,city,zip,long,lat,arrival_plan,departure_plan,arrival_change,departure_change,arrival_delay_m,departure_delay_m,info,arrival_delay_check,departure_delay_check
8430155671421176775-2407100821-5,2,Berlin-Lichtenrade|Berlin Schichauweg|Berlin Buckower Chaussee|Berlin-Marienfelde,8089003,4,Attilastraße,Berlin,Berlin,12105,13.360951,52.447681,2024-07-10 08:30:00,2024-07-10 08:31:00,,,0,0,,on_time,on_time
8544654008356308788-2407040452-1,32,,8000028,3,Bayreuth Hbf,Bayern,Bayreuth,95444,11.579985,49.949616,,2024-07-11 04:52:00,,,0,0,,on_time,on_time
6913970185475217975-2407141341-1,46,,8010193,3,Königs Wusterhausen,Brandenburg,Königs Wusterhausen,15711,13.631472,52.296635,,2024-07-14 13:41:00,,,0,0,,on_time,on_time
3300050618046679792-2407090514-19,1,Berlin-Wannsee (S)|Berlin-Nikolassee|Berlin-Schlachtensee|Berlin Mexikoplatz|Berlin-Zehlendorf|Berlin Sundgauer Str|Berlin-Lichterfelde West|Berlin Botanischer Garten|Berlin Rathaus Steglitz|Berlin Feuerbachstr.|Berlin-Friedenau|Berlin-Schöneberg|Berlin Julius-Leber-Brücke|Berlin Yorckstr.(S1)|Berlin Anhalter Bf|Berlin Potsdamer Platz (S)|Berlin Brandenburger Tor|Berlin Friedrichstraße (S),8089027,4,Oranienburger Straße,Berlin,Berlin,10117,13.393052,52.52521,2024-07-09 05:52:00,2024-07-09 05:52:00,2024-07-09 05:52:00,2024-07-09 05:52:00,0,0,,on_time,on_time
5898209185450257017-2407101018-21,4,Haar|Gronsdorf|München-Trudering|München-Berg am Laim|München Leuchtenbergring|München Ost|München Rosenheimer Platz|München Isartor|München Marienplatz|München Karlsplatz|München Hbf (tief)|München Hackerbrücke|München Donnersbergerbrücke|München Hirschgarten|München-Laim|München-Pasing|München Leienfelsstr.|München-Aubing|Puchheim|Eichenau(Oberbay),8002141,4,Fürstenfeldbruck,Bayern,Fürstenfeldbruck,82256,11.262148,48.171656,2024-07-10 11:06:00,2024-07-10 11:07:00,2024-07-10 11:12:00,2024-07-10 11:12:00,6,5,Bauarbeiten,delay,on_time
-3907436198245885347-2407131307-18,2,Karlsruhe Hbf|Rastatt|Baden-Baden|Bühl(Baden)|Achern|Renchen|Appenweier|Offenburg|Biberach(Baden)|Haslach|Hausach|Hornberg(Schwarzw)|Triberg|St Georgen(Schwarzw)|Villingen(Schwarzw)|Donaueschingen|Immendingen,8001790,4,Engen,Baden-Württemberg,Engen ,78234,8.772786,47.856347,2024-07-13 15:40:00,2024-07-13 15:40:00,2024-07-13 15:41:00,2024-07-13 15:41:00,1,1,,on_time,on_time
58133983524038883-2407122321-30,1,Magdeburg Hbf|Magdeburg-Neustadt|Magdeburg Herrenkrug|Biederitz|Gerwisch|Möser|Burg(Magdeburg)|Güsen(b Genthin)|Genthin|Wusterwitz|Kirchmöser|Brandenburg Hbf|Götz|Groß Kreutz|Werder(Havel)|Potsdam Park Sanssouci|Potsdam Charlottenhof|Potsdam Hbf|Berlin-Wannsee|Berlin-Charlottenburg|Berlin Zoologischer Garten|Berlin Hbf|Berlin Friedrichstraße|Berlin Alexanderplatz|Berlin Ostbahnhof|Berlin Ostkreuz|Erkner|Fangschleuse|Hangelsberg,8010120,4,Fürstenwalde (Spree),Brandenburg,Fürstenwalde (Spree),15517,14.05964,52.366858,2024-07-13 02:09:00,2024-07-13 02:10:00,2024-07-13 02:11:00,2024-07-13 02:12:00,2,2,,on_time,on_time
-2333667807374629515-2407140834-10,7,Münster(Westf)Hbf|Münster-Hiltrup|Drensteinfurt|Hamm(Westf)Hbf|Bönen|Unna|Holzwickede|Schwerte(Ruhr)|Hagen Hbf,8001795,4,Ennepetal (Gevelsberg),Nordrhein-Westfalen,Ennepetal,58256,7.343533,51.304778,2024-07-14 09:46:00,2024-07-14 09:47:00,2024-07-14 09:47:00,2024-07-14 09:48:00,1,1,Bauarbeiten. (Quelle: zuginfo.nrw),on_time,on_time
-8941357701977971183-2407111936-12,6,Hamburg-Altona|Elmshorn|Glückstadt|Itzehoe|Heide(Holst)|Lunden|Friedrichstadt|Husum|Bredstedt|Langenhorn(Schlesw)|Niebüll,8003303,5,Klanxbüll,Schleswig-Holstein,Klanxbüll,25924,8.676454,54.861997,2024-07-11 22:10:00,2024-07-11 22:11:00,2024-07-11 22:11:00,2024-07-11 22:13:00,1,2,Information,on_time,on_time
-9053581387932752447-2407140630-14,3,Pinneberg|Thesdorf|Halstenbek|Krupunder|Hamburg Elbgaustraße|Hamburg-Eidelstedt|Hamburg-Stellingen|Hamburg-Langenfelde|Hamburg-Altona(S)|Hamburg Königstraße|Hamburg Reeperbahn|Hamburg Landungsbrücken|Hamburg Stadthausbrücke,8003137,4,Jungfernstieg,Hamburg,Hamburg,20095,9.993883,53.552194,2024-07-14 07:02:00,2024-07-14 07:03:00,2024-07-14 07:04:00,2024-07-14 07:05:00,2,2,Information,on_time,on_time
-8735783341488432588-2407100713-15,1,Wedel(Holst)|Hamburg-Rissen|Hamburg-Sülldorf|Hamburg-Iserbrook|Hamburg-Blankenese|Hamburg Hochkamp|Hamburg Klein Flottbek|Hamburg-Othmarschen|Hamburg-Bahrenfeld|Hamburg-Ottensen|Hamburg-Altona(S)|Hamburg Königstraße|Hamburg Reeperbahn|Hamburg Landungsbrücken,8005663,4,Stadthausbrücke,Hamburg,Hamburg,20354,9.984804,53.549465,2024-07-10 07:49:00,2024-07-10 07:49:00,,,0,0,,on_time,on_time
574435843013766774-2407081741-15,46,Königs Wusterhausen|Wildau|Zeuthen|Eichwalde|Berlin-Grünau|Berlin-Adlershof|Berlin-Johannisthal|Berlin-Schöneweide (S)|Berlin Baumschulenweg|Berlin Köllnische Heide|Berlin-Neukölln|Berlin Hermannstraße|Berlin-Tempelhof|Berlin Südkreuz (S),8089474,4,Schöneberg,Berlin,Berlin,10827,13.352068,52.479377,2024-07-08 18:24:00,2024-07-08 18:25:00,2024-07-08 18:24:00,2024-07-08 18:25:00,0,0,Störung,on_time,on_time
-8387325260205673914-2407101314-6,1,Freising|Pulling(b Freising)|Neufahrn(b Freising)|Eching|Lohhof,8006688,5,Unterschleißheim,Bayern,Unterschleißheim,85716,11.568628,48.2737,2024-07-10 13:32:00,2024-07-10 13:32:00,2024-07-10 13:35:00,2024-07-10 13:35:00,3,3,,on_time,on_time
-3077134492458141244-2407131737-6,24,Köln Messe/Deutz|Köln Hbf|Köln West|Köln Süd|Hürth-Kalscheuren,8003252,5,Kierberg,Nordrhein-Westfalen,Brühl,50321,6.888375,50.838197,2024-07-13 18:04:00,2024-07-13 18:05:00,2024-07-13 18:07:00,2024-07-13 18:08:00,3,3,,on_time,on_time
-2156879253951480134-2407090934-8,S2,Freiburg(Breisgau) Hbf|Freiburg-Herdern|Freiburg-Zähringen|Gundelfingen(Breisgau)|Denzlingen|Buchholz(Baden)|Batzenhäusle,8006159,5,Waldkirch,Baden-Württemberg,Waldkirch,79183,7.957245,48.095691,2024-07-09 09:53:00,2024-07-09 09:54:00,2024-07-09 09:53:00,2024-07-09 09:54:00,0,0,,on_time,on_time
